"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Требование 5: при добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","7819","5. Увеличение счетчика ингредиента","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 3: если кликнуть на ингредиент, появится всплывающее окно с деталями","4762","3. Открытие всплывающего окна с деталями ингредиента","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 3: если кликнуть на ингредиент, появится всплывающее окно с деталями","4764","3. Открытие всплывающего окна с деталями ингредиента","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 6: при создании нового заказа счётчик 'Выполнено за всё время' увеличивается","8782","6. Проверка увеличения счетчика 'Выполнено за все время'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
"Требование 1: переход по клику на «Конструктор»","1137","1. Переход по клику на 'Конструктор'","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 8: после оформления заказа его номер появляется в разделе 'В работе'","8042","8. Проверка появления заказа в разделе 'В работе'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
"Требование 4: всплывающее окно закрывается кликом по крестику","7011","4. Закрытие всплывающего окна","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 2: переход по клику на раздел «Лента заказов»","3367","2. Переход по клику на 'Лента заказов'","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 2: переход по клику на раздел «Лента заказов»","3375","2. Переход по клику на 'Лента заказов'","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 4: всплывающее окно закрывается кликом по крестику","7167","4. Закрытие всплывающего окна","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 8: после оформления заказа его номер появляется в разделе 'В работе'","8017","8. Проверка появления заказа в разделе 'В работе'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
"Требование 7: при создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","8771","7. Проверка увеличения счетчика 'Выполнено за сегодня'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
"Требование 1: переход по клику на «Конструктор»","1272","1. Переход по клику на 'Конструктор'","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 6: при создании нового заказа счётчик 'Выполнено за всё время' увеличивается","8706","6. Проверка увеличения счетчика 'Выполнено за все время'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
"Требование 5: при добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","7793","5. Увеличение счетчика ингредиента","tests","2026-01-21","passed","2026-01-21","TestMainPage","test_main_page","",""
"Требование 7: при создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","8806","7. Проверка увеличения счетчика 'Выполнено за сегодня'","tests","2026-01-21","passed","2026-01-21","TestOrderFeed","test_order_feed","",""
